id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
63,2024-03-30,Cliente_050,Notebook,Computadores,Nordeste,1.0,2680.48
64,2024-09-02,Cliente_032,Teclado,Periféricos,Centro-Oeste,1.0,569.65
65,2024-02-15,Cliente_026,Headset,Áudio,Sudeste,3.0,2022.83
66,2024-09-22,Cliente_015,Headset,Áudio,Sudeste,9.0,4590.82
67,2024-06-12,Cliente_032,Smartphone,Mobile,Sudeste,5.0,3172.62
68,2024-03-14,Cliente_041,Monitor,Computadores,Nordeste,8.0,928.66
69,2024-11-16,Cliente_029,Monitor,Computadores,Sudeste,5.0,1727.34
70,2024-03-05,Cliente_036,Smartphone,Mobile,Nordeste,2.0,998.43
71,2024-08-20,Cliente_012,Smartphone,Mobile,Nordeste,4.0,172.87
72,2024-10-18,Cliente_036,Smartphone,Mobile,Nordeste,1.0,4640.93
73,2024-05-26,Cliente_023,Headset,Áudio,Centro-Oeste,8.0,2268.63
74,2024-09-10,Cliente_039,Mouse,Periféricos,Nordeste,2.0,1572.3
75,2024-10-02,Cliente_042,Mouse,Periféricos,Centro-Oeste,4.0,
76,2024-04-29,Cliente_040,Mouse,Periféricos,Centro-Oeste,10.0,86.21
77,2024-05-30,Cliente_005,Headset,Áudio,Norte,,1426.21
78,2024-11-09,Cliente_034,Notebook,Computadores,Centro-Oeste,5.0,3530.02
79,2024-02-01,Cliente_018,Headset,Áudio,Nordeste,6.0,3187.16
80,2024-09-08,Cliente_016,Notebook,Computadores,Nordeste,8.0,4909.94
81,2024-09-11,Cliente_042,Monitor,Computadores,Sul,3.0,3120.77
82,2024-06-28,Cliente_034,Teclado,Periféricos,Nordeste,7.0,2413.65
83,2024-05-08,Cliente_026,Tablet,Mobile,Sudeste,9.0,3819.09
84,2024-10-24,Cliente_028,Smartphone,Mobile,Norte,6.0,4521.47
85,2024-12-23,Cliente_043,Smartphone,Mobile,Norte,5.0,3617.44
86,2024-07-02,Cliente_038,Mouse,Periféricos,Sudeste,2.0,4817.9
87,2024-04-09,Cliente_022,Tablet,Mobile,Centro-Oeste,3.0,3920.93
88,2024-10-16,Cliente_024,Tablet,Mobile,Sudeste,10.0,4340.67
89,2024-04-23,Cliente_037,Headset,Áudio,Centro-Oeste,6.0,614.82
90,2024-10-09,Cliente_040,Smartphone,Mobile,Sudeste,4.0,3675.45
91,2024-04-07,Cliente_022,Headset,Áudio,Nordeste,5.0,2228.44
92,2024-08-19,Cliente_017,Headset,Áudio,Centro-Oeste,6.0,2787.86
93,2024-09-06,Cliente_005,Teclado,Periféricos,Centro-Oeste,6.0,3287.81
94,2024-12-25,Cliente_002,Smartphone,Mobile,Nordeste,7.0,4850.58
95,2024-03-19,Cliente_044,Smartphone,Mobile,Norte,3.0,4923.66
96,2024-02-12,Cliente_024,Smartphone,Mobile,Centro-Oeste,7.0,1476.73
97,2024-02-25,Cliente_031,Teclado,Periféricos,Sul,5.0,3682.08
98,2024-01-15,Cliente_009,Smartphone,Mobile,Centro-Oeste,10.0,3762.42
99,2024-02-26,Cliente_032,Monitor,Computadores,Centro-Oeste,2.0,1765.14
100,2024-06-23,Cliente_049,Notebook,Computadores,Sul,2.0,663.16
101,2024-07-29,Cliente_017,Monitor,Computadores,Centro-Oeste,5.0,252.69
102,2024-06-17,Cliente_036,Notebook,Computadores,Norte,6.0,3897.85
103,2024-03-27,Cliente_048,Teclado,Periféricos,Norte,7.0,2474.01
104,2024-12-29,Cliente_042,Notebook,Computadores,Centro-Oeste,5.0,4928.42
105,2024-12-18,Cliente_014,Smartphone,Mobile,Centro-Oeste,10.0,
106,2024-04-16,Cliente_011,Smartphone,Mobile,Sul,5.0,4890.69
107,2024-01-13,Cliente_008,Mouse,Periféricos,Centro-Oeste,2.0,2087.3
108,2024-02-19,Cliente_028,Notebook,Computadores,Sul,2.0,3978.73
109,2024-01-02,Cliente_002,Monitor,Computadores,Nordeste,10.0,469.86
110,2024-10-13,Cliente_040,Teclado,Periféricos,Sul,2.0,2799.54
111,2024-04-20,Cliente_027,Monitor,Computadores,Sul,10.0,4020.2
112,2024-07-22,Cliente_038,Teclado,Periféricos,Sudeste,3.0,4627.27
113,2024-06-03,Cliente_045,Mouse,Periféricos,Norte,1.0,4121.79
114,2024-09-30,Cliente_007,Tablet,Mobile,Sudeste,4.0,233.01
115,2024-06-10,Cliente_014,Mouse,Periféricos,Sudeste,7.0,1894.88
116,2024-05-23,Cliente_028,Tablet,Mobile,Norte,5.0,291.06
117,2024-10-14,Cliente_034,Headset,Áudio,Nordeste,8.0,
118,2024-09-04,Cliente_036,Monitor,Computadores,Nordeste,7.0,3392.76
119,2024-08-06,Cliente_024,Mouse,Periféricos,Centro-Oeste,5.0,3580.63
120,2024-11-02,Cliente_007,Headset,Áudio,Sul,7.0,3879.92
121,2024-11-15,Cliente_043,Mouse,Periféricos,Sudeste,10.0,4334.01
122,2024-03-08,Cliente_038,Mouse,Periféricos,Centro-Oeste,5.0,3710.19
123,2024-08-13,Cliente_007,Monitor,Computadores,Sudeste,2.0,4014.31
124,2024-03-03,Cliente_035,Notebook,Computadores,Nordeste,5.0,292.37
125,2024-04-25,Cliente_039,Monitor,Computadores,Norte,9.0,1210.95
126,2024-11-27,Cliente_028,Smartphone,Mobile,Norte,3.0,3128.39
127,2024-12-19,Cliente_021,Headset,Áudio,Sul,10.0,4297.72
128,2024-06-14,Cliente_009,Smartphone,Mobile,Centro-Oeste,6.0,72.28
129,2024-02-06,Cliente_021,Smartphone,Mobile,Centro-Oeste,7.0,2597.42
130,2024-09-21,Cliente_045,Smartphone,Mobile,Nordeste,4.0,3402.57
131,2024-07-24,Cliente_019,Teclado,Periféricos,Sudeste,10.0,196.56
132,2024-02-03,Cliente_019,Monitor,Computadores,Sul,1.0,2036.71
133,2024-11-18,Cliente_004,Headset,Áudio,Centro-Oeste,3.0,4483.39
134,2024-10-31,Cliente_002,Tablet,Mobile,Norte,5.0,3374.48
135,2024-05-24,Cliente_023,Smartphone,Mobile,Sudeste,5.0,1226.41
136,2024-05-19,Cliente_021,Notebook,Computadores,Centro-Oeste,5.0,4271.27
137,2024-05-01,Cliente_026,Notebook,Computadores,Norte,2.0,1772.76
138,2024-01-17,Cliente_010,Tablet,Mobile,Norte,3.0,4274.06
139,2024-11-20,  Cliente_039  ,Headset,Áudio,Nordeste,1.0,1529.77
140,2024-11-29,Cliente_005,Monitor,Computadores,Sudeste,6.0,2972.09
141,2024-04-18,  Cliente_005  ,Headset,Áudio,Sul,4.0,2014.85
142,2024-03-16,Cliente_042,Notebook,Computadores,Norte,6.0,1410.38
143,2024-10-25,Cliente_023,Notebook,Computadores,Norte,6.0,4438.46
144,2024-01-08,Cliente_005,Mouse,Periféricos,Centro-Oeste,8.0,978.59
145,2024-09-28,Cliente_032,Notebook,Computadores,Sudeste,6.0,469.82
146,2024-03-29,Cliente_049,Notebook,Computadores,Sudeste,,1742.54
147,2024-05-02,Cliente_007,Tablet,Mobile,Nordeste,6.0,3602.31
148,2024-06-19,Cliente_018,Headset,Áudio,Nordeste,7.0,4046.79
149,2024-06-21,Cliente_004,Teclado,Periféricos,Sudeste,7.0,4993.78
150,2024-10-22,Cliente_040,Notebook,Computadores,Centro-Oeste,,1516.99
151,2024-12-14,Cliente_050,Mouse,Periféricos,Nordeste,3.0,2069.31
152,2024-08-15,Cliente_035,Mouse,Periféricos,Sudeste,8.0,727.27
153,2024-05-12,Cliente_010,Mouse,Periféricos,Sudeste,4.0,2895.62
154,2024-08-31,Cliente_042,Headset,Áudio,Nordeste,6.0,4988.02
155,2024-09-15,  Cliente_041  ,Smartphone,Mobile,Centro-Oeste,2.0,3519.36
156,2024-11-04,Cliente_013,Headset,Áudio,Norte,5.0,2996.3
157,2024-02-28,Cliente_033,Tablet,Mobile,Nordeste,6.0,1992.23
158,2024-10-27,Cliente_026,Mouse,Periféricos,Sul,7.0,4580.73
159,2024-10-29,Cliente_029,Teclado,Periféricos,Norte,6.0,2509.74
160,2024-10-11,Cliente_040,Mouse,Periféricos,Nordeste,4.0,715.12
161,2024-08-17,Cliente_024,Teclado,Periféricos,Sul,10.0,1858.62
162,2024-12-01,Cliente_028,Teclado,Periféricos,Nordeste,6.0,382.48
163,2024-08-09,Cliente_010,Teclado,Periféricos,Sudeste,9.0,1049.8
164,2024-07-26,Cliente_049,Mouse,Periféricos,Sul,8.0,137.46
165,2024-08-26,Cliente_048,Mouse,Periféricos,Nordeste,6.0,2293.74
166,2024-07-17,Cliente_038,Notebook,Computadores,Norte,9.0,3190.97
167,2024-10-20,Cliente_014,Mouse,Periféricos,Centro-Oeste,2.0,1749.3
168,2024-05-28,Cliente_012,Monitor,Computadores,Centro-Oeste,,2130.89
169,2024-11-11,Cliente_033,Tablet,Mobile,Nordeste,9.0,4798.09
170,2024-07-28,Cliente_021,Monitor,Computadores,Sudeste,6.0,
171,2024-04-10,Cliente_043,Headset,Áudio,Sul,8.0,2727.24
172,2024-12-03,Cliente_040,Headset,Áudio,Norte,6.0,1458.48
173,2024-04-05,Cliente_033,Mouse,Periféricos,Sudeste,3.0,4490.13
174,2024-05-15,Cliente_040,Monitor,Computadores,Norte,8.0,1213.73
175,2024-06-06,Cliente_043,Mouse,Periféricos,Centro-Oeste,3.0,1660.45
176,2024-02-21,Cliente_029,Tablet,Mobile,Sul,4.0,4549.87
177,2024-01-21,Cliente_012,Teclado,Periféricos,Centro-Oeste,6.0,2671.23
178,2024-07-13,Cliente_028,Teclado,Periféricos,Norte,9.0,3724.47
179,2024-08-11,Cliente_024,Smartphone,Mobile,Sudeste,4.0,2974.19
180,2024-08-08,Cliente_040,Smartphone,Mobile,Sudeste,5.0,3284.52
181,2024-09-13,Cliente_022,Notebook,Computadores,Centro-Oeste,1.0,1531.95
182,2024-01-26,Cliente_015,Notebook,Computadores,Norte,2.0,1244.79
183,2024-02-08,Cliente_022,Monitor,Computadores,Sudeste,1.0,1646.34
184,2024-08-22,Cliente_029,Monitor,Computadores,Centro-Oeste,1.0,819.44
185,2024-07-11,Cliente_003,Smartphone,Mobile,Sudeste,9.0,4377.86
186,2024-01-19,Cliente_011,Tablet,Mobile,Centro-Oeste,9.0,1452.07
187,2024-06-15,Cliente_038,Teclado,Periféricos,Centro-Oeste,9.0,2829.37
188,2024-12-07,Cliente_031,Smartphone,Mobile,Sudeste,1.0,3970.27
189,2024-12-21,Cliente_050,Tablet,Mobile,Centro-Oeste,1.0,3929.93
190,2024-03-12,Cliente_040,Tablet,Mobile,Norte,3.0,2220.01
191,2024-06-01,Cliente_028,Monitor,Computadores,Norte,6.0,2407.47
192,2024-12-10,Cliente_018,Tablet,Mobile,Sudeste,4.0,4973.77
193,2024-09-26,Cliente_035,Mouse,Periféricos,Sul,5.0,3389.26
194,2024-01-24,Cliente_014,Tablet,Mobile,Sul,2.0,4082.46
195,2024-12-12,Cliente_022,Monitor,Computadores,Nordeste,8.0,4517.64
196,2024-03-21,Cliente_045,Tablet,Mobile,Sudeste,4.0,3948.57
197,2024-06-08,Cliente_042,Smartphone,Mobile,Norte,1.0,966.64
198,2024-01-10,Cliente_006,Teclado,Periféricos,Centro-Oeste,8.0,2832.75
199,2024-06-04,Cliente_004,Smartphone,Mobile,Norte,,554.38
200,2024-12-08,Cliente_002,Tablet,Mobile,Sudeste,1.0,3281.96
